Date,Open,High,Low,Close,AdjClose,Volume
2023-07-11,100.339996,100.349998,100.339996,100.339996,87.630676,2155900
2023-07-12,100.360001,100.370003,100.349998,100.360001,87.648132,2323900
2023-07-13,100.400002,100.410004,100.400002,100.400002,87.683067,2442000
2023-07-14,100.419998,100.419998,100.410004,100.410004,87.691803,4713700
2023-07-17,100.434998,100.440002,100.419998,100.43,87.709267,1728200
2023-07-18,100.445,100.449997,100.440002,100.440002,87.71801,1857600
2023-07-19,100.449997,100.459999,100.449997,100.459999,87.735451,1467800
2023-07-20,100.5,100.5,100.489998,100.5,87.770386,1409500
2023-07-21,100.510002,100.510002,100.5,100.510002,87.779121,1452700
2023-07-24,100.529999,100.529999,100.519997,100.529999,87.7966,1536000
2023-07-25,100.540001,100.550003,100.529999,100.540001,87.805336,1282900
2023-07-26,100.559998,100.559998,100.540001,100.559998,87.8228,1641900
2023-07-27,100.589996,100.599998,100.589996,100.599998,87.857712,1512500
2023-07-28,100.599998,100.620003,100.599998,100.620003,87.875191,1323400
2023-07-31,100.620003,100.629997,100.620003,100.620003,87.875191,3955300
2023-08-01,100.209999,100.209999,100.199997,100.199997,87.894493,4694200
2023-08-02,100.230003,100.230003,100.220001,100.230003,87.92083,2059600
2023-08-03,100.260002,100.269997,100.260002,100.260002,87.947128,2615000
2023-08-04,100.279999,100.279999,100.269997,100.279999,87.964668,2250100
2023-08-07,100.300003,100.300003,100.290001,100.290001,87.973434,2017300
2023-08-08,100.309998,100.32,100.300003,100.300003,87.982216,2138300
2023-08-09,100.330002,100.330002,100.32,100.330002,88.008537,1914100
2023-08-10,100.370003,100.370003,100.360001,100.360001,88.034836,3643500
2023-08-11,100.379997,100.379997,100.370003,100.370003,88.043617,1948300
2023-08-14,100.389999,100.400002,100.389999,100.400002,88.069946,2367100
2023-08-15,100.410004,100.419998,100.400002,100.410004,88.078705,2725000
2023-08-16,100.43,100.43,100.419998,100.43,88.096268,3010900
2023-08-17,100.459999,100.470001,100.459999,100.470001,88.13134,5092100
2023-08-18,100.480003,100.480003,100.470001,100.480003,88.140137,2604900
2023-08-21,100.489998,100.5,100.489998,100.489998,88.14888,1967100
2023-08-22,100.510002,100.510002,100.5,100.5,88.157646,2327200
2023-08-23,100.529999,100.529999,100.510002,100.529999,88.183975,2200200
2023-08-24,100.57,100.57,100.559998,100.57,88.219063,2699900
2023-08-25,100.580002,100.580002,100.57,100.580002,88.227844,1902900
2023-08-28,100.599998,100.599998,100.589996,100.599998,88.245392,1406500
2023-08-29,100.610001,100.620003,100.599998,100.620003,88.262924,2521800
2023-08-30,100.620003,100.629997,100.620003,100.620003,88.262924,1908500
2023-08-31,100.660004,100.68,100.660004,100.669998,88.306786,4114400
2023-09-01,100.269997,100.269997,100.260002,100.269997,88.334091,6907600
2023-09-05,100.285004,100.290001,100.279999,100.279999,88.342918,2632600
2023-09-06,100.300003,100.300003,100.290001,100.300003,88.360519,2724500
2023-09-07,100.339996,100.349998,100.330002,100.349998,88.404556,2697700
2023-09-08,100.349998,100.360001,100.349998,100.360001,88.413383,2149500
2023-09-11,100.370003,100.379997,100.370003,100.370003,88.42218,1968400
2023-09-12,100.389999,100.389999,100.379997,100.379997,88.430962,1728600
2023-09-13,100.400002,100.410004,100.389999,100.410004,88.457413,2152000
2023-09-14,100.449997,100.449997,100.440002,100.440002,88.483864,2075300
2023-09-15,100.455002,100.459999,100.449997,100.459999,88.501472,2323300
2023-09-18,100.470001,100.480003,100.470001,100.470001,88.510269,2307700
2023-09-19,100.480003,100.489998,100.480003,100.480003,88.519112,1702900
2023-09-20,100.5,100.510002,100.489998,100.510002,88.545509,1965900
2023-09-21,100.550003,100.550003,100.540001,100.540001,88.571945,3186500
2023-09-22,100.550003,100.559998,100.550003,100.559998,88.589569,3379500
2023-09-25,100.580002,100.580002,100.57,100.580002,88.607208,2866300
2023-09-26,100.589996,100.589996,100.580002,100.580002,88.607208,2836000
2023-09-27,100.610001,100.610001,100.589996,100.610001,88.633629,3450300
2023-09-28,100.639999,100.650002,100.639999,100.639999,88.660065,2880000
2023-09-29,100.644997,100.669998,100.599998,100.669998,88.686478,5697300
2023-10-02,100.269997,100.269997,100.260002,100.269997,88.69709,6244400
2023-10-03,100.290001,100.300003,100.279999,100.279999,88.705948,4955000
2023-10-04,100.300003,100.300003,100.290001,100.300003,88.723633,3347400
2023-10-05,100.349998,100.360001,100.349998,100.360001,88.776703,3345400
2023-10-06,100.349998,100.379997,100.349998,100.370003,88.785553,3186900
2023-10-09,100.389999,100.389999,100.379997,100.379997,88.794395,2533900
2023-10-10,100.385002,100.389999,100.379997,100.379997,88.794395,2865400
2023-10-11,100.400002,100.400002,100.389999,100.400002,88.812088,2673500
2023-10-12,100.43,100.449997,100.43,100.449997,88.8563,2064200
2023-10-13,100.459999,100.459999,100.449997,100.449997,88.8563,2499400
2023-10-16,100.470001,100.480003,100.470001,100.480003,88.882835,2622000
2023-10-17,100.489998,100.489998,100.480003,100.489998,88.891701,2367400
2023-10-18,100.510002,100.510002,100.5,100.510002,88.909409,5428500
2023-10-19,100.550003,100.550003,100.540001,100.550003,88.944786,2599100
2023-10-20,100.57,100.57,100.559998,100.57,88.962486,2817300
2023-10-23,100.584999,100.589996,100.580002,100.589996,88.980141,2585300
2023-10-24,100.599998,100.599998,100.589996,100.599998,88.989006,2151500
2023-10-25,100.610001,100.620003,100.599998,100.599998,88.989006,3023800
2023-10-26,100.660004,100.660004,100.639999,100.660004,89.042084,2870600
2023-10-27,100.669998,100.669998,100.660004,100.660004,89.042084,3906000
2023-10-30,100.68,100.690002,100.68,100.68,89.059769,3542400
2023-10-31,100.690002,100.699997,100.690002,100.699997,89.077431,4720800
2023-11-01,100.285004,100.300003,100.279999,100.290001,89.09256,9100400
2023-11-02,100.32,100.339996,100.32,100.330002,89.128105,3989700
2023-11-03,100.339996,100.349998,100.339996,100.339996,89.136986,3352000
2023-11-06,100.352997,100.360001,100.349998,100.360001,89.154739,3746500
2023-11-07,100.379997,100.379997,100.360001,100.360001,89.154739,3550900
2023-11-08,100.388,100.389999,100.379997,100.379997,89.172523,3479900
2023-11-09,100.419998,100.440002,100.419998,100.43,89.216949,2604100
2023-11-10,100.449997,100.449997,100.43,100.43,89.216949,3029700
2023-11-13,100.449997,100.459999,100.440002,100.440002,89.225822,7757900
2023-11-14,100.480003,100.480003,100.470001,100.480003,89.261353,3774800
2023-11-15,100.480003,100.489998,100.480003,100.480003,89.261353,3981800
2023-11-16,100.529999,100.540001,100.529999,100.529999,89.305786,2420200
2023-11-17,100.540001,100.550003,100.540001,100.550003,89.323547,2158800
2023-11-20,100.57,100.57,100.559998,100.559998,89.332428,2597700
2023-11-21,100.580002,100.599998,100.580002,100.589996,89.359055,2011400
2023-11-22,100.639999,100.639999,100.629997,100.629997,89.394615,2190400
2023-11-24,100.660004,100.660004,100.650002,100.660004,89.421265,1104400
2023-11-27,100.68,100.68,100.660004,100.660004,89.421265,2890600
2023-11-28,100.68,100.690002,100.669998,100.669998,89.430138,1779200
2023-11-29,100.684998,100.699997,100.68,100.699997,89.456787,2921000
2023-11-30,100.720001,100.739998,100.720001,100.730003,89.483429,6294600
2023-12-01,100.32,100.32,100.309998,100.32,89.512863,6708000
2023-12-04,100.330002,100.339996,100.32,100.330002,89.521805,3521600
2023-12-05,100.349998,100.349998,100.330002,100.349998,89.539665,2138900
2023-12-06,100.349998,100.360001,100.349998,100.349998,89.539665,2371200
2023-12-07,100.400002,100.410004,100.389999,100.400002,89.584282,2551100
2023-12-08,100.410004,100.410004,100.400002,100.410004,89.593193,2503500
2023-12-11,100.43,100.43,100.419998,100.43,89.611031,2478600
2023-12-12,100.449997,100.449997,100.440002,100.440002,89.619957,2250300
2023-12-13,100.459999,100.459999,100.449997,100.449997,89.62886,4326000
2023-12-14,100.050003,100.059998,100.040001,100.050003,89.6782,5268100
2023-12-15,100.059998,100.07,100.059998,100.059998,89.687149,3426500
2023-12-18,100.080002,100.080002,100.07,100.07,89.696106,4107700
2023-12-19,100.089996,100.099998,100.080002,100.099998,89.722992,4336200
2023-12-20,100.110001,100.120003,100.099998,100.110001,89.731956,4477200
2023-12-21,100.160004,100.169998,100.160004,100.169998,89.785736,4097500
2023-12-22,100.169998,100.18,100.169998,100.18,89.794693,3353700
2023-12-26,100.190002,100.199997,100.190002,100.190002,89.803688,2559900
2023-12-27,100.209999,100.209999,100.199997,100.199997,89.812622,3096500
2023-12-28,100.260002,100.269997,100.260002,100.260002,89.866409,3386700
2023-12-29,100.269997,100.279999,100.269997,100.269997,89.875359,3189200
2024-01-02,100.290001,100.300003,100.279999,100.290001,89.893295,5286200
2024-01-03,100.300003,100.32,100.300003,100.300003,89.90226,4597300
2024-01-04,100.349998,100.360001,100.349998,100.349998,89.947075,2794100
2024-01-05,100.360001,100.370003,100.360001,100.360001,89.956032,3491200
