Date,Open,High,Low,Close,AdjClose,Volume
2011-02-01,118.480003,119.779999,118.379997,119.540001,90.939659,147400
2011-02-02,119.239998,119.660004,119.239998,119.339996,90.787498,91000
2011-02-03,119.199997,119.800003,118.5,119.639999,91.015755,72250
2011-02-04,119.699997,120.019997,119.139999,119.959999,91.259178,97050
2011-02-07,120.300003,121.120003,120.260002,120.720001,91.837341,118050
2011-02-08,120.879997,121.300003,120.599998,121.279999,92.263336,153500
2011-02-09,120.980003,121.279999,120.459999,120.980003,92.035164,139650
2011-02-10,120.400002,121.160004,120.160004,121.019997,92.065559,125200
2011-02-11,120.599998,121.919998,120.559998,121.779999,92.643715,149200
2011-02-14,121.720001,122.139999,121.580002,122.080002,92.871956,92200
2011-02-15,121.720001,121.860001,121.379997,121.639999,92.537224,82150
2011-02-16,122.099998,122.599998,121.980003,122.419998,93.13063,94300
2011-02-17,122.059998,122.959999,121.959999,122.879997,93.480545,158250
2011-02-18,122.959999,123.220001,122.68,123.080002,93.63269,120800
2011-02-22,121.68,122.379997,120.239998,120.559998,91.715591,288400
2011-02-23,120.5,120.760002,119.099998,119.879997,91.198303,276000
2011-02-24,119.660004,120.160004,118.660004,119.760002,91.107033,241300
2011-02-25,120.339996,121.120003,120.199997,121.059998,92.095985,106350
2011-02-28,121.540001,121.940002,121.160004,121.779999,92.643715,208350
2011-03-01,122.279999,122.300003,119.699997,119.699997,91.061378,235350
2011-03-02,119.620003,120.559998,119.5,120.040001,91.320038,176350
2011-03-03,121.080002,122.239998,121.080002,122.099998,92.887169,136450
2011-03-04,122.059998,122.059998,120.400002,121.199997,92.202507,168250
2011-03-07,121.599998,121.739998,119.599998,120.139999,91.396103,155200
2011-03-08,120.419998,121.620003,119.959999,121.260002,92.248123,106350
2011-03-09,121.059998,121.379997,120.5,121.120003,92.141632,116450
2011-03-10,119.879997,119.879997,118.760002,118.900002,90.452774,267850
2011-03-11,118.400002,120.139999,118.400002,119.699997,91.061378,134350
2011-03-14,118.959999,119.260002,118.059998,119,90.528839,146100
2011-03-15,115.82,118.239998,115.620003,117.68,89.524696,346800
2011-03-16,117.260002,117.559998,114.639999,115.440002,87.82061,339900
2011-03-17,117.139999,117.400002,116.239998,116.879997,88.916084,176200
2011-03-18,118.400002,118.400002,117.139999,117.379997,89.296471,127700
2011-03-21,118.839996,119.379997,118.68,119.160004,90.650597,136100
2011-03-22,119.18,119.300003,118.699997,118.739998,90.331093,137800
2011-03-23,118.519997,119.419998,117.940002,119.120003,90.620155,204150
2011-03-24,119.82,120.379997,119.199997,120.239998,91.472191,110800
2011-03-25,120.019997,120.580002,119.779999,120.059998,91.744202,134300
2011-03-28,120.379997,120.639999,119.760002,119.800003,91.545525,166150
2011-03-29,119.699997,120.620003,119.300003,120.580002,92.141594,110950
2011-03-30,121.239998,121.739998,121.120003,121.400002,92.768196,105550
2011-03-31,121.300003,121.559998,121.099998,121.239998,92.645927,127500
2011-04-01,122.120003,122.339996,121.5,121.800003,93.073837,70400
2011-04-04,122.099998,122.260002,121.519997,121.860001,93.119705,78800
2011-04-05,121.559998,122.32,121.559998,121.860001,93.119705,204950
2011-04-06,122.480003,122.5,121.779999,122.220001,93.394806,142900
2011-04-07,122.059998,122.5,121.360001,122,93.226707,107150
2011-04-08,122.5,122.519997,121.019997,121.540001,92.875198,86850
2011-04-11,121.68,122.019997,120.919998,121.120003,92.554222,139650
2011-04-12,120.5,120.599998,119.800003,120.239998,91.881775,104800
2011-04-13,120.839996,120.900002,119.800003,120.279999,91.9123,185100
2011-04-14,119.580002,120.5,119.160004,120.300003,91.927605,78450
2011-04-15,120.5,121.040001,120.220001,120.720001,92.248573,79700
2011-04-18,119.300003,119.599998,118.440002,119.400002,91.239891,151650
2011-04-19,119.620003,120.139999,119.32,120.139999,91.805359,78900
2011-04-20,121.580002,121.980003,121.480003,121.760002,93.043297,173250
2011-04-21,122.379997,122.379997,121.940002,122.300003,93.455902,197850
2011-04-25,122.32,122.400002,121.82,122.18,93.364243,99000
2011-04-26,122.620003,123.5,122.519997,123.239998,94.174217,85050
2011-04-27,123.559998,124.239998,123,124.040001,94.785576,72850
2011-04-28,123.900002,124.599998,123.860001,124.440002,95.091209,66050
2011-04-29,124.5,124.879997,124.419998,124.800003,95.366325,99000
2011-05-02,125.440002,125.440002,124.32,124.519997,95.152313,131000
2011-05-03,124.360001,124.519997,123.5,124.120003,94.846672,66500
2011-05-04,124.099998,124.099998,122.779999,123.279999,94.204819,107000
2011-05-05,122.620003,123.360001,121.639999,122.199997,93.379524,98950
2011-05-06,123.480003,124,122.279999,122.779999,93.822731,138550
2011-05-09,122.800003,123.580002,122.580002,123.279999,94.204819,66000
2011-05-10,123.660004,124.480003,123.519997,124.300003,94.984222,175550
2011-05-11,124.120003,124.120003,122.419998,122.980003,93.975555,174400
2011-05-12,122.68,123.739998,122.019997,123.639999,94.479919,113500
2011-05-13,123.620003,123.699997,122.199997,122.559998,93.65461,126400
2011-05-16,122.199997,123.019997,121.620003,121.800003,93.073837,113500
2011-05-17,121.360001,121.860001,120.919998,121.779999,93.058556,142400
2011-05-18,121.900002,122.980003,121.68,122.919998,93.929695,70550
2011-05-19,123.339996,123.459999,122.639999,123.080002,94.051956,266650
2011-05-20,122.860001,123,122,122.260002,93.425377,95450
2011-05-23,120.699997,121.160004,120.400002,120.800003,92.309708,136200
2011-05-24,121.160004,121.360001,120.519997,120.699997,92.233269,89650
2011-05-25,120.160004,121.5,120.160004,121.099998,92.538933,62300
2011-05-26,120.779999,121.800003,120.540001,121.580002,92.905731,60450
2011-05-27,121.980003,122.400002,121.860001,122.120003,93.318382,47600
2011-05-31,123.300003,123.360001,122.419998,123.339996,94.250626,172500
2011-06-01,123.040001,123.040001,120.540001,120.599998,92.156853,222000
2011-06-02,120.699997,120.919998,119.82,120.459999,92.049873,211800
2011-06-03,119,120.18,119,119.300003,91.163467,148450
2011-06-06,119.059998,119.18,117.940002,118.040001,90.200623,113250
2011-06-07,118.519997,118.940002,117.860001,117.879997,90.078362,203700
2011-06-08,117.699997,118.080002,117.260002,117.400002,89.711555,87600
2011-06-09,117.779999,118.779999,117.459999,118.300003,90.399323,43350
2011-06-10,117.839996,117.860001,116.400002,116.639999,89.130806,106750
2011-06-13,116.900002,117.220001,116.18,116.720001,89.191956,77900
2011-06-14,117.82,118.660004,117.82,118.220001,90.338173,75400
2011-06-15,117.279999,117.559998,115.900002,116.160004,88.764046,79700
2011-06-16,116.199997,116.900002,115.540001,116.379997,88.932129,66050
2011-06-17,117.480003,117.5,116.379997,116.699997,89.176697,58800
2011-06-20,116.339996,117.559998,116.32,117.360001,89.681,53700
2011-06-21,117.940002,119.160004,117.839996,118.959999,90.903687,132450
2011-06-22,118.660004,119.260002,118.199997,118.260002,90.368744,106050
2011-06-23,116.839996,117.900002,116,117.860001,90.063087,260750
2011-06-24,117.32,117.360001,115.800003,116,89.07254,114500
2011-06-27,116.080002,117.419998,115.82,116.980003,89.825066,77850
